date,freight_rate,congestion_index,lead_time
2026-03-22 17:30:19.067488,1000,50.0,10.0
2026-03-23 17:30:19.067488,1005,50.5,10.2
2026-03-24 17:30:19.067488,1010,51.0,10.4
2026-03-25 17:30:19.067488,1015,51.5,10.6
2026-03-26 17:30:19.067488,1020,52.0,10.8
2026-03-27 17:30:19.067488,1025,52.5,11.0
2026-03-28 17:30:19.067488,1030,53.0,11.2
2026-03-29 17:30:19.067488,1035,53.5,11.4
2026-03-30 17:30:19.067488,1040,54.0,11.6
2026-03-31 17:30:19.067488,1045,54.5,11.8
2026-04-01 17:30:19.067488,1050,55.0,12.0
2026-04-02 17:30:19.067488,1055,55.5,12.2
2026-04-03 17:30:19.067488,1060,56.0,12.4
2026-04-04 17:30:19.067488,1065,56.5,12.6
2026-04-05 17:30:19.067488,1070,57.0,12.8
2026-04-06 17:30:19.067488,1075,57.5,13.0
2026-04-07 17:30:19.067488,1080,58.0,13.2
2026-04-08 17:30:19.067488,1085,58.5,13.4
2026-04-09 17:30:19.067488,1090,59.0,13.6
2026-04-10 17:30:19.067488,1095,59.5,13.8
2026-04-11 17:30:19.067488,1100,60.0,14.0
2026-04-12 17:30:19.067488,1105,60.5,14.2
2026-04-13 17:30:19.067488,1110,61.0,14.4
2026-04-14 17:30:19.067488,1115,61.5,14.600000000000001
2026-04-15 17:30:19.067488,1120,62.0,14.8
2026-04-16 17:30:19.067488,1125,62.5,15.0
2026-04-17 17:30:19.067488,1130,63.0,15.2
2026-04-18 17:30:19.067488,1135,63.5,15.4
2026-04-19 17:30:19.067488,1140,64.0,15.600000000000001
2026-04-20 17:30:19.067488,1145,64.5,15.8
